id,disabled_on,segment,level,lft,parent_id,rght,tree_id,sector_cluster_id
a31a72f1-5f95-e211-a939-e4115bead28a,,Environmental Monitoring,1,4,a238cecc-5f95-e211-a939-e4115bead28a,5,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
98e61afa-5f95-e211-a939-e4115bead28a,,Fuel Cells,1,6,a238cecc-5f95-e211-a939-e4115bead28a,7,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
a11a72f1-5f95-e211-a939-e4115bead28a,,Marine Pollution Control,1,8,a238cecc-5f95-e211-a939-e4115bead28a,9,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
a21a72f1-5f95-e211-a939-e4115bead28a,,Sanitation and Remediation,1,10,a238cecc-5f95-e211-a939-e4115bead28a,11,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
94e61afa-5f95-e211-a939-e4115bead28a,,Hazardous Waste Management,2,13,a51a72f1-5f95-e211-a939-e4115bead28a,14,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
95e61afa-5f95-e211-a939-e4115bead28a,,Sewage Collection and Treatment,2,17,a51a72f1-5f95-e211-a939-e4115bead28a,18,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
9f38cecc-5f95-e211-a939-e4115bead28a,,Creative and Media,0,1,,64,12,ed3671b5-d194-4ee3-9bbf-a04773711dd9
a538cecc-5f95-e211-a939-e4115bead28a,,Food and Drink,0,1,,26,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
a638cecc-5f95-e211-a939-e4115bead28a,,"Giftware, Jewellery and Tableware",0,1,,2,22,ed3671b5-d194-4ee3-9bbf-a04773711dd9
44329c18-6095-e211-a939-e4115bead28a,2013-08-06 15:51:32+00,More Sectors,0,1,,2,35,
97e61afa-5f95-e211-a939-e4115bead28a,,Waste to Energy,1,20,a238cecc-5f95-e211-a939-e4115bead28a,21,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
a41a72f1-5f95-e211-a939-e4115bead28a,,Water Management,1,22,a238cecc-5f95-e211-a939-e4115bead28a,23,18,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
99e61afa-5f95-e211-a939-e4115bead28a,,Asset Management,1,2,a338cecc-5f95-e211-a939-e4115bead28a,3,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
9ae61afa-5f95-e211-a939-e4115bead28a,,Banking,1,4,a338cecc-5f95-e211-a939-e4115bead28a,13,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
9ee61afa-5f95-e211-a939-e4115bead28a,,Investment Banking,2,7,9ae61afa-5f95-e211-a939-e4115bead28a,8,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
9ce61afa-5f95-e211-a939-e4115bead28a,,Private Banking,2,9,9ae61afa-5f95-e211-a939-e4115bead28a,10,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
9be61afa-5f95-e211-a939-e4115bead28a,,Retail Banking,2,11,9ae61afa-5f95-e211-a939-e4115bead28a,12,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
9fe61afa-5f95-e211-a939-e4115bead28a,,Capital Markets,1,14,a338cecc-5f95-e211-a939-e4115bead28a,21,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
