id,segment,sector_cluster_id,parent_id,path
f021cbe3-8333-4aba-89b3-da37fcb75494,Construction and manufacture,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Construction and manufacture
54dc70a3-7de5-4944-82bc-798699634c77,Digital shipping,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Digital shipping
f3029f04-2992-454e-a1ed-47f6625d4f9f,Engineering and interior design,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Engineering and interior design
366ca4f4-c751-47ca-bf6e-06a075b768d0,Engineering consultancy,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Engineering consultancy
1a8dc403-04e1-4785-ae0f-66c4a8ad2ca8,Fit out and refits,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Fit out and refits
474ff3c7-7685-47e8-b254-0804dab6b865,Green marine,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Green marine
30738aed-461a-40d7-9da3-242e956a7d8d,Leisure marine,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Leisure marine
f4de37c5-8bad-4bac-bd95-d3deb7d31eb0,Marine science,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Marine science
8c981c6b-9878-416a-bc77-ca47c0d706c4,Maritime equipment and systems,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Maritime equipment and systems
cf385bd3-ab74-43e3-b807-b286ca1a6e49,Project management,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Project management
8adf5476-2656-4ea7-9404-5e8d6767b333,Research and development,531d3510-3f42-41fd-86b5-fa686fdfe33f,a5da78e5-629e-4826-9a7c-ec1026adacd4,Maritime : Marine engineering : Research and development
8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime services,531d3510-3f42-41fd-86b5-fa686fdfe33f,aa38cecc-5f95-e211-a939-e4115bead28a,Maritime : Maritime services
2f08020e-0ec2-4096-be02-034b8da17233,Accounting and financial services,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Accounting and financial services
2c589cca-a250-484b-a92d-added80a1dc7,Classification,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Classification
1bfb7182-2b15-4581-908d-12ddab666d30,Consultancy,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Consultancy
75093e70-12a1-4c71-a378-a9c74158cdec,Human resource management,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Human resource management
5856c7cb-992e-4f61-9eed-376fe84027e3,Marine insurance,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Marine insurance
bd737a17-2cd4-4a2a-b4d0-c803ae59fc77,Maritime charities,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Maritime charities
132fece1-a06f-4f7a-a2ec-e5067d6f9a00,Maritime law and arbitration,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Maritime law and arbitration
0bb39ee6-5a2c-4ece-b50e-d90c0f354d2a,Media and PR,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Media and PR
1a3d0459-4e59-4a28-8d37-deca7bb67ad7,Ship finance,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Ship finance
99776338-b29e-417a-9052-086ca5e55adb,Ship management,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Ship management
3a51294d-0eb8-45bf-bf33-1364f985f92f,Shipbroking,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Shipbroking
0c19c5a1-b716-435a-9cac-38e61f98ebcc,Training and education,531d3510-3f42-41fd-86b5-fa686fdfe33f,8e311d33-e613-4bbb-8c67-c80cda2ec71f,Maritime : Maritime services : Training and education
3aca75ca-0e20-47e3-b599-f72225ae8759,Digital and data,0804745e-80b6-4bd1-8101-30e7a431623e,6f535406-6095-e211-a939-e4115bead28a,Medical devices and equipment : Digital and data
65d567fa-c8de-4978-8d60-03c85a2dcbcd,Implantable devices,0804745e-80b6-4bd1-8101-30e7a431623e,6f535406-6095-e211-a939-e4115bead28a,Medical devices and equipment : Implantable devices
f8249afa-0d69-44f0-a7b6-372cfa3cdcb3,In vitro diagnostic devices,0804745e-80b6-4bd1-8101-30e7a431623e,6f535406-6095-e211-a939-e4115bead28a,Medical devices and equipment : In vitro diagnostic devices
0f72de37-6250-41aa-b7d7-490648878d43,Digital and data,0804745e-80b6-4bd1-8101-30e7a431623e,9938cecc-5f95-e211-a939-e4115bead28a,Pharmaceuticals and biotechnology : Digital and data
d5d16b00-98cc-47d6-9a14-7fe7abf50b7e,Communications,531d3510-3f42-41fd-86b5-fa686fdfe33f,cb2a9801-8d70-471c-b615-78401ce06b2b,Space : Component manufacturing : Communications
15914ba8-3c20-4666-a6e9-ed8fc9ca6105,Electronics,531d3510-3f42-41fd-86b5-fa686fdfe33f,cb2a9801-8d70-471c-b615-78401ce06b2b,Space : Component manufacturing : Electronics
2a6b954d-6ebe-4eb0-a379-1349e8ab9269,Optics,531d3510-3f42-41fd-86b5-fa686fdfe33f,cb2a9801-8d70-471c-b615-78401ce06b2b,Space : Component manufacturing : Optics
8c53014c-4699-4814-a9b5-95f676f8f890,Propulsion,531d3510-3f42-41fd-86b5-fa686fdfe33f,cb2a9801-8d70-471c-b615-78401ce06b2b,Space : Component manufacturing : Propulsion
848024ae-29a0-4753-a014-0fa30fe31fa5,Robotics,531d3510-3f42-41fd-86b5-fa686fdfe33f,cb2a9801-8d70-471c-b615-78401ce06b2b,Space : Component manufacturing : Robotics
ce9a7b42-0439-4921-823d-a6547fa52cf5,Satellite bus,531d3510-3f42-41fd-86b5-fa686fdfe33f,cb2a9801-8d70-471c-b615-78401ce06b2b,Space : Component manufacturing : Satellite bus
7e720bd9-eee9-47a0-9888-e0e44622cc1a,Services,531d3510-3f42-41fd-86b5-fa686fdfe33f,6448e2bd-3f92-4e3d-8c41-0aff88a7a66b,Space : Services
637f3121-53f0-413d-8660-65c94273e072,Artificial intelligence and data,531d3510-3f42-41fd-86b5-fa686fdfe33f,7e720bd9-eee9-47a0-9888-e0e44622cc1a,Space : Services : Artificial intelligence and data
e704c58b-391f-451f-bf63-9f9063f90190,Communications,531d3510-3f42-41fd-86b5-fa686fdfe33f,7e720bd9-eee9-47a0-9888-e0e44622cc1a,Space : Services : Communications
acedbe6b-baf4-4b49-aa7a-27dae9ffaa8e,Earth observation,531d3510-3f42-41fd-86b5-fa686fdfe33f,7e720bd9-eee9-47a0-9888-e0e44622cc1a,Space : Services : Earth observation
