old_sector,new_sector,new_sector_fix_capitalisation,sector_team,disable
Automotive : Manufacturing and Assembly : Invalid Carriages,Automotive : Manufacturing and Assembly : Invalid Carriages,Automotive : Manufacturing and assembly : Invalid carriages,Automotive sector team,
Automotive : Manufacturing and Assembly : Lorries,Automotive : Manufacturing and Assembly : Lorries,Automotive : Manufacturing and assembly : Lorries,Automotive sector team,
Automotive : Manufacturing and Assembly : Motorcycles,Automotive : Manufacturing and Assembly : Motorcycles,Automotive : Manufacturing and assembly : Motorcycles,Automotive sector team,
Automotive : Manufacturing and Assembly : Trailers,Automotive : Manufacturing and Assembly : Trailers,Automotive : Manufacturing and assembly : Trailers,Automotive sector team,
Automotive : Manufacturing and Assembly : Vans,Automotive : Manufacturing and Assembly : Vans,Automotive : Manufacturing and assembly : Vans,Automotive sector team,
Automotive : Motorsport,Automotive : Motorsport,Automotive : Motorsport,Automotive sector team,
Biotechnology and Pharmaceuticals : Bio and Pharma Marketing and Sales,Pharmaceuticals and biotechnology : Marketing and sales,Pharmaceuticals and biotechnology : Marketing and sales,Life sciences sector team,
Biotechnology and Pharmaceuticals : Bio and Pharma Marketing and Sales : Bio and Pharma Retail,Pharmaceuticals and biotechnology : Marketing and sales,Pharmaceuticals and biotechnology : Marketing and sales,Life sciences sector team,
Biotechnology and Pharmaceuticals : Bio and Pharma Marketing and Sales : Bio and Pharma Wholesale,Pharmaceuticals and biotechnology : Marketing and sales,Pharmaceuticals and biotechnology : Marketing and sales,Life sciences sector team,
Biotechnology and Pharmaceuticals : Biotechnology,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Biotechnology and Pharmaceuticals : Biotechnology : Agribio,"Agriculture, horticulture, fisheries and pets : Engineering and precision farming","Agriculture, horticulture, fisheries and pets : Engineering and precision farming",Bio-economy sector team,
Biotechnology and Pharmaceuticals : Biotechnology : Biotherapeutics,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Biotechnology and Pharmaceuticals : Biotechnology : Industrialbio,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Biotechnology and Pharmaceuticals : Biotechnology : Platform Technologies,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Biotechnology and Pharmaceuticals : Pharmaceuticals,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Biotechnology and Pharmaceuticals : Pharmaceuticals : Basic Pharmaceutical Products,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Biotechnology and Pharmaceuticals : Pharmaceuticals : Neutraceuticals,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Biotechnology and Pharmaceuticals : Clinical Trials,Pharmaceuticals and biotechnology : Research and development,Pharmaceuticals and biotechnology : Research and development,Life sciences sector team,
Biotechnology and Pharmaceuticals : Lab Services,Pharmaceuticals and biotechnology : Professional services,Pharmaceuticals and biotechnology : Professional services,Life sciences sector team,
Biotechnology and Pharmaceuticals : Lab Services : Contract Research,Pharmaceuticals and biotechnology : Professional services,Pharmaceuticals and biotechnology : Professional services,Life sciences sector team,
"Biotechnology and Pharmaceuticals : Lab Services : Reagents, Consumables and Instruments",Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Biotechnology and Pharmaceuticals : Biotechnology : Bioremediation,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Biotechnology and Pharmaceuticals : Pharmaceuticals : Drug Discovery,Pharmaceuticals and biotechnology : Research and development,Pharmaceuticals and biotechnology : Research and development,Life sciences sector team,
Biotechnology and Pharmaceuticals : Pharmaceuticals : Drug Manufacture,Pharmaceuticals and biotechnology : Manufacturing,Pharmaceuticals and biotechnology : Manufacturing,Life sciences sector team,
Biotechnology and Pharmaceuticals : Biotechnology : Biomanufacturing,Pharmaceuticals and biotechnology : Manufacturing,Pharmaceuticals and biotechnology : Manufacturing,Life sciences sector team,
Biotechnology and Pharmaceuticals : Vaccines,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Business (and Consumer) Services : Commercial Real Estate Services,Financial and Professional Services : Business and consumer services : Commercial Real Estate Services,Financial and professional services : Business and consumer services : Commercial real estate services,Financial & professional services sector team,
Business (and Consumer) Services : Contact Centres,Financial and Professional Services : Business and consumer services : Contact Centres,Financial and professional services : Business and consumer services : Contact centres,Financial & professional services sector team,
Business (and Consumer) Services : HR Services,Financial and Professional Services : Business and consumer services : HR Services,Financial and professional services : Business and consumer services : HR services,Financial & professional services sector team,
Business (and Consumer) Services : Marketing Services,Financial and Professional Services : Business and consumer services : Marketing Services,Financial and professional services : Business and consumer services : Marketing services,Financial & professional services sector team,
Business (and Consumer) Services : Marketing Services : Market Research,Financial and Professional Services : Business and consumer services : Market Research,Financial and professional services : Business and consumer services : Market research,Financial & professional services sector team,
Business (and Consumer) Services : Shared Service Centres,Financial and Professional Services : Business and consumer services : Shared Service Centres,Financial and professional services : Business and consumer services : Shared service centres,Financial & professional services sector team,
Chemicals : Agricultural Chemicals,Chemicals : Agricultural Chemicals,Chemicals : Agricultural chemicals,Bio-economy sector team,
Chemicals : Basic Chemicals,Chemicals : Basic Chemicals,Chemicals : Basic chemicals,Bio-economy sector team,
Chemicals : Cleaning Preparations,Chemicals : Cleaning Preparations,Chemicals : Cleaning preparations,Bio-economy sector team,
Chemicals : Miscellaneous Chemicals,Chemicals : Miscellaneous Chemicals,Chemicals : Miscellaneous chemicals,Bio-economy sector team,
"Chemicals : Paint, Coating and Adhesive Products","Chemicals : Paint, Coating and Adhesive Products","Chemicals : Paint, coating and adhesive products",Bio-economy sector team,
Chemicals : Synthetic Materials,Chemicals : Synthetic Materials,Chemicals : Synthetic materials,Bio-economy sector team,
"Clothing, Footwear and Fashion : Clothing","Consumer and retail : Clothing, footwear and fashion","Consumer and retail : Clothing, footwear and fashion","Creative, consumer & sports sector team",
"Clothing, Footwear and Fashion : Clothing : Workwear","Consumer and retail : Clothing, footwear and fashion","Consumer and retail : Clothing, footwear and fashion","Creative, consumer & sports sector team",
"Clothing, Footwear and Fashion : Footwear","Consumer and retail : Clothing, footwear and fashion","Consumer and retail : Clothing, footwear and fashion","Creative, consumer & sports sector team",
Communications : Broadband,Technology and smart cities : Communications,Technology and smart cities : Communications,Technology sector team,
Communications : Communications Wholesale,Technology and smart cities : Communications,Technology and smart cities : Communications,Technology sector team,
Communications : Convergent,Technology and smart cities : Communications : Convergent,Technology and smart cities : Communications : Convergent,Technology sector team,
Communications : Fixed Line,Technology and smart cities : Communications : Fixed line,Technology and smart cities : Communications : Fixed line,Technology sector team,
Communications : Mobile,Technology and smart cities : Communications : Mobile,Technology and smart cities : Communications : Mobile,Technology sector team,
Communications : Mobile : 3G Services,Technology and smart cities : Communications : Mobile,Technology and smart cities : Communications : Mobile,Technology sector team,
Communications : Mobile : GSM,Technology and smart cities : Communications : Mobile,Technology and smart cities : Communications : Mobile,Technology sector team,
Communications : Retail,Technology and smart cities : Communications,Technology and smart cities : Communications,Technology sector team,
Communications : Wireless,Technology and smart cities : Communications : Wireless,Technology and smart cities : Communications : Wireless,Technology sector team,
Communications : Wireless : Wi-Fi,Technology and smart cities : Communications : Wireless,Technology and smart cities : Communications : Wireless,Technology sector team,
Communications : Wireless : Wi-Max,Technology and smart cities : Communications : Wireless,Technology and smart cities : Communications : Wireless,Technology sector team,
Creative and Media : Architecture,Creative industries,Creative industries,"Creative, consumer & sports sector team",
"Creative and Media : Art, Design and Creativity",Creative industries : Art,Creative industries : Art,"Creative, consumer & sports sector team",
"Creative and Media : Art, Design and Creativity : Artistic and Literary Creation",Creative industries : Art,Creative industries : Art,"Creative, consumer & sports sector team",
"Creative and Media : Art, Design and Creativity : Arts Facilities Operation",Creative industries : Art,Creative industries : Art,"Creative, consumer & sports sector team",
"Creative and Media : Art, Design and Creativity : Design",Creative industries : Design,Creative industries : Design,"Creative, consumer & sports sector team",
"Creative and Media : Art, Design and Creativity : Fashion",Creative industries : Art,Creative industries : Art,"Creative, consumer & sports sector team",
"Creative and Media : Art, Design and Creativity : Live Theatrical Presentations",Creative industries : Performing arts,Creative industries : Performing arts,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Distribution,Creative industries : Digital media,Creative industries : Digital media,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Distribution : Film and Video,Creative industries : Film and tv : Sales and distribution,Creative industries : Film and tv : Sales and distribution,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Equipment,Creative industries : Equipment,Creative industries : Equipment,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Equipment : Musical Instrument Manufacture,Creative industries : Equipment : Musical instruments,Creative industries : Equipment : Musical instruments,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Equipment : Photo and Cinema Equipment,Creative industries : Equipment : Photo and cinema,Creative industries : Equipment : Photo and cinema,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Retail,Creative industries,Creative industries,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Retail : Antiques and Antiquities,Creative industries : Antiques and Antiquities,Creative industries : Antiques and antiquities,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Retail : Art,Creative industries : Art,Creative industries : Art,"Creative, consumer & sports sector team",
"Creative and Media : Creative and Media Retail : Books, Newspapers and Stationery","Creative industries : Books, printed media and stationery","Creative industries : Books, printed media and stationery","Creative, consumer & sports sector team",
Creative and Media : Creative and Media Wholesaling,Creative industries,Creative industries,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Wholesaling : Multimedia Sales,Creative industries : Multimedia Sales,Creative industries : Multimedia sales,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Wholesaling : Musical Instruments,Creative industries : Equipment,Creative industries : Equipment,"Creative, consumer & sports sector team",
Creative and Media : Creative and Media Wholesaling : Photographic Goods,Creative industries : Equipment : Photo and cinema,Creative industries : Equipment : Photo and cinema,"Creative, consumer & sports sector team",
Creative and Media : Events and Attractions,Creative industries : Experience economy,Creative industries : Experience economy,"Creative, consumer & sports sector team",
Creative and Media : Media,Creative industries : Digital media,Creative industries : Digital media,"Creative, consumer & sports sector team",
Creative and Media : Media : Advertising,Creative industries : Advertising,Creative industries : Advertising,"Creative, consumer & sports sector team",
"Creative and Media : Media : Film, Photography and Animation",Creative industries : Animation,Creative industries : Animation,"Creative, consumer & sports sector team",
Creative and Media : Media : Music,Creative industries : Music,Creative industries : Music,"Creative, consumer & sports sector team",
Creative and Media : Media : Publishing,Creative industries : Publishing,Creative industries : Publishing,"Creative, consumer & sports sector team",
Creative and Media : Media : TV and Radio,Creative industries : Film and tv,Creative industries : Film and tv,"Creative, consumer & sports sector team",
