old_sector,new_sector,new_sector_fix_capitalisation,sector_team,disable
"Metals, Minerals and Materials : Elastomers and Rubbers","Advanced engineering : Metals, minerals and materials : Elastomers and Rubbers","Advanced engineering : Metals, minerals and materials : Elastomers and rubbers",Advanced manufacturing sector team,
"Metals, Minerals and Materials : Metals","Advanced engineering : Metals, minerals and materials : Metals","Advanced engineering : Metals, minerals and materials : Metals",Advanced manufacturing sector team,
"Metals, Minerals and Materials : Minerals","Advanced engineering : Metals, minerals and materials : Minerals","Advanced engineering : Metals, minerals and materials : Minerals",Advanced manufacturing sector team,
"Metals, Minerals and Materials : Plastics","Advanced engineering : Metals, minerals and materials : Plastics","Advanced engineering : Metals, minerals and materials : Plastics",Advanced manufacturing sector team,
Power : Nuclear,Energy : Civil nuclear,Energy : Civil nuclear,Energy sector team,
Power : Nuclear : Nuclear De-commissiong,Energy : Civil nuclear decommissioning,Energy : Civil nuclear decommissioning,Energy sector team,
Renewable Energy : Biomass,Energy : Renewable energy : Biomass,Energy : Renewable energy : Biomass,Energy sector team,
Renewable Energy : Geothermal,Energy : Renewable energy : Geothermal,Energy : Renewable energy : Geothermal,Energy sector team,
Renewable Energy : Hydro,Energy : Renewable energy : Hydro,Energy : Renewable energy : Hydro,Energy sector team,
Renewable Energy : Solar,Energy : Renewable energy : Solar,Energy : Renewable energy : Solar,Energy sector team,
Renewable Energy : Tidal,Energy : Renewable energy : Marine and tidal,Energy : Renewable energy : Marine and tidal,Energy sector team,
Renewable Energy : Wave,Energy : Renewable energy : Wave,Energy : Renewable energy : Wave,Energy sector team,
Renewable Energy : Wind,Energy : Renewable energy : Offshore wind,Energy : Renewable energy : Offshore wind,Energy sector team,
Renewable Energy : Wind : Offshore,Energy : Renewable energy : Offshore wind,Energy : Renewable energy : Offshore wind,Energy sector team,
Renewable Energy : Wind : Onshore,Energy : Renewable energy : Onshore wind,Energy : Renewable energy : Onshore wind,Energy sector team,
Security : Cyber Security,Security : Cyber security,Security : Cyber security,Defence & security sector team,
Software and Computer Services Business to Business (B2B),Technology and smart cities : Software,Technology and smart cities : Software,Technology sector team,
Software and Computer Services Business to Business (B2B) : Biometrics,Technology and smart cities : Software,Technology and smart cities : Software,Technology sector team,
Software and Computer Services Business to Business (B2B) : E-Procurement,Technology and smart cities : Software,Technology and smart cities : Software,Technology sector team,
Software and Computer Services Business to Business (B2B) : Financial Applications,Technology and smart cities : Software,Technology and smart cities : Software,Technology sector team,
Software and Computer Services Business to Business (B2B) : Healthcare Applications,Technology and smart cities : Software,Technology and smart cities : Software,Technology sector team,
Software and Computer Services Business to Business (B2B) : Industry Applications,Technology and smart cities : Software,Technology and smart cities : Software,Technology sector team,
Software and Computer Services Business to Business (B2B) : Online Retailing,Technology and smart cities : Software,Technology and smart cities : Software,Technology sector team,
Software and Computer Services Business to Business (B2B) : Security Related Software,Security : Cyber security,Security : Cyber security,Defence & security sector team,
Software and Computer Services Business to Business (B2B) : Support Services,Technology and smart cities,Technology and smart cities,Technology sector team,
Software and Computer Services Business to Business (B2B) : Support Services : Equipment Maintenance and Repair,Technology and smart cities,Technology and smart cities,Technology sector team,
Software and Computer Services Business to Business (B2B) : Support Services : Internet Service Providers,Technology and smart cities,Technology and smart cities,Technology sector team,
Renewable Energy : Wind,Energy : Renewable energy : Onshore wind,Energy : Renewable energy : Onshore wind,Energy sector team,1
"Giftware, Jewellery and Tableware",Consumer and retail : Giftware,Consumer and retail : Giftware,"Creative, consumer & sports sector team",1
"Giftware, Jewellery and Tableware",Consumer and retail : Tableware,Consumer and retail : Tableware,"Creative, consumer & sports sector team",1
"Household Goods, Furniture and Furnishings",Consumer and retail : Furniture and furnishings,Consumer and retail : Furniture and furnishings,"Creative, consumer & sports sector team",1
Mass Transport,Railways,Railways,Infrastructure sector team,1
Renewable Energy : Wind : Renewable energy: Wind: Offshore,Energy : Renewable energy : Offshore wind,Energy : Renewable energy : Offshore wind,Energy sector team,1
Renewable Energy : Wind : Renewable energy: Wind: Onshore,Energy : Renewable energy : Onshore wind,Energy : Renewable energy : Onshore wind,Energy sector team,1
